codice_ipa,comune,cod_comune,provincia,cod_provincia,regione,cod_regione,importo_finanziamento,avviso,data_invio_candidatura,data_finanziamento,codice_cup,numero_finestra_temporale,numero_di_protocollo,stato_candidatura,misura,tipologia_ente
CSMV,Verona,023091,VR,023,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-28T12:09:35.000+0000,2022-12-12,E35E22000380006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oring_bo,Bologna,037006,BO,037,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-21T12:29:40.000+0000,2022-12-12,C31E22000070005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
omco_mo,Novara,003106,NO,003,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T09:18:58.000+0000,2022-12-12,G11F22002000002,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cnch_rm,Roma,058091,RM,058,Lazio,12,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-20T16:14:59.000+0000,2022-12-12,F81F22002770001,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
asp_pa,Palermo,082053,PA,082,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-06T08:00:23.000+0000,2022-11-11,F71F22003100006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddcd3,La Spezia,011015,SP,011,Liguria,07,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-11T11:04:56.000+0000,2022-11-11,C41F22002980006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odcc,Napoli,063049,,063,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T14:03:17.000+0000,2022-12-12,J61F22002350002,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cgglpav,Avellino,064008,AV,064,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-27T13:26:20.000+0000,2022-12-12,E31F22002620006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
orfap_sr,Siracusa,089017,SR,089,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-11T13:05:33.000+0000,2022-11-11,C31F22002300006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cm_vabo,Borca di Cadore,025007,BL,025,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-01T08:01:41.000+0000,2022-11-11,E51F22002520006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cbst,Taranto,073027,TA,073,Puglia,16,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-27T07:52:52.000+0000,2022-12-12,H57H21007350001,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
asmo_012,Marnate,012098,VA,012,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T14:43:57.000+0000,2022-12-12,G81F22002390006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
iafam_ct,Catania,087015,CT,087,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-28T17:56:38.000+0000,2022-12-12,F61F22002060006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cpdo_058,Roma,058091,RM,058,Lazio,12,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-27T15:37:18.000+0000,2022-12-12,H81E22000070005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odc_pv,Pavia,018110,PV,018,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-07T15:29:46.000+0000,2022-11-11,H11F22003170006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cbajr,Roccella Ionica,080067,RC,080,Calabria,18,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-21T14:35:10.000+0000,2022-12-12,G78G22000040001,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
9VU26R0T,Castelleone,019025,CR,019,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-11T08:45:08.000+0000,2022-11-11,C81F22002760006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oapa,Agrigento,084001,AG,084,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-06T08:15:12.000+0000,2022-11-11,F41F22002210006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cpit_063,Napoli,063049,,063,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T14:43:35.000+0000,2022-12-12,E61F22002000006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
issr_035,Reggio nell'Emilia,035033,RE,035,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-07T09:01:08.000+0000,2022-11-11,I81F22002480006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
r_veneto,Venezia,027042,VE,027,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-19T13:16:33.000+0000,2022-11-11,H77H22002440001,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odaftv,Treviso,026086,TV,026,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-12T07:59:40.000+0000,2022-11-11,E41F22002450006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cipv_,Vercelli,002158,VC,002,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T13:18:39.000+0000,2022-12-12,H61F22002240006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odgvd_,Aosta,007003,AO,007,Valle d'Aosta/Vallée d'Aoste,02,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-28T09:30:56.000+0000,2022-12-12,G61F22002570006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
a_101,Crotone,101010,KR,101,Calabria,18,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-28T14:30:00.000+0000,2022-12-12,E11F22002270006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odmcrc,Reggio di Calabria,080063,RC,080,Calabria,18,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-30T11:12:36.000+0000,2022-11-11,E31F22003170006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
inrca_rm,Ancona,042002,AN,042,Marche,11,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-08T13:39:06.000+0000,2022-11-11,F31F22002820006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odcec_mc,Macerata,043023,MC,043,Marche,11,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-22T15:12:51.000+0000,2022-12-12,E81E22000110005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cmmi,Milano,015146,MI,015,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-27T13:45:00.000+0000,2022-12-12,I41F22001870006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ASSL10VE,San Donà di Piave,027033,VE,027,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T10:20:33.000+0000,2022-11-11,I71F22002940002,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
coost_av,Avellino,064008,AV,064,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-23T09:20:36.000+0000,2022-11-11,G31F22002700006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
p_AR,Arezzo,051002,AR,051,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-29T07:03:18.000+0000,2022-11-11,I11F22002850006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
fodafv,Venezia,027042,VE,027,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T07:35:19.000+0000,2022-11-11,D71F22002480006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
otavt_0,Venezia,027042,VE,027,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-23T18:09:08.000+0000,2022-11-11,E71F22002750006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
sissa,Trieste,032006,TS,032,Friuli-Venezia Giulia,06,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-24T13:20:24.000+0000,2022-11-11,G93C22000960006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ucmvc_bs,Capo di Ponte,017035,BS,017,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T09:20:23.000+0000,2022-11-11,C51F22002880006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
USMRE,Modena,036023,MO,036,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-01T11:22:04.000+0000,2022-11-11,E91F22002560006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
otass_,Catania,087015,CT,087,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-29T08:08:01.000+0000,2022-11-11,D61F22003070006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oring_ao,Aosta,007003,AO,007,Valle d'Aosta/Vallée d'Aoste,02,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T10:12:40.000+0000,2022-11-11,B71F22002890006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddafvi,Vicenza,024116,VI,024,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T09:28:34.000+0000,2022-11-11,B31F22002810006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
egdap,Salbertrand,001232,TO,001,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-29T14:44:24.000+0000,2022-11-11,I61F22002630006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ipasvibg,Bergamo,016024,BG,016,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T10:21:02.000+0000,2022-11-11,I11F22003080006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddadfpd,Padova,028060,PD,028,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T08:53:51.000+0000,2022-11-11,C91F22002620006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
mr,Pont-Saint-Martin,007052,AO,007,Valle d'Aosta/Vallée d'Aoste,02,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T12:21:35.000+0000,2022-11-11,F11F22002530001,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddadfv,Venezia,027042,VE,027,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T07:55:47.000+0000,2022-11-11,F71F22002820006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
citn_083,Patti,083066,ME,083,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-07T08:41:22.000+0000,2022-11-11,I41F22002480006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddadfro,Rovigo,029041,RO,029,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T08:30:50.000+0000,2022-11-11,E11F22002620006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
vssbs,Vestone,017197,BS,017,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T12:26:16.000+0000,2022-11-11,F51F22003000006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odadfpv,Verona,023091,VR,023,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-25T12:44:19.000+0000,2022-11-11,D31F22002710006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
udcmc_,Poppi,051031,AR,051,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-29T07:21:36.000+0000,2022-11-11,D31F22003130002,3.0,49.0,R,1.4.4 Adozione identità digitale,Comune
