codice_ipa,comune,cod_comune,provincia,cod_provincia,regione,cod_regione,importo_finanziamento,avviso,data_invio_candidatura,data_finanziamento,codice_cup,numero_finestra_temporale,numero_di_protocollo,stato_candidatura,misura,tipologia_ente
iacpcac,Acireale,087004,CT,087,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-06-15T09:32:07.000+0000,2022-11-08,C41F22001750006,1.0,49.0,A,1.4.4 Adozione identità digitale,Comune
codav,Vibo Valentia,102047,VV,102,Calabria,18,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-22T09:10:19.000+0000,2022-12-12,I41E22000110005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oappc_,Fermo,109006,FM,109,Marche,11,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-21T10:41:14.000+0000,2022-12-12,F61F22002050006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ucloa,Corte Palasio,098024,LO,098,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-06-12T19:34:36.000+0000,2022-11-08,I31F22001920006,1.0,49.0,A,1.4.4 Adozione identità digitale,Comune
aba_090,Sassari,090064,SS,090,Sardegna,20,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-08T12:46:04.000+0000,2022-11-11,I81F22002530006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ordav_pc,Piacenza,033032,PC,033,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-08T13:09:35.000+0000,2022-11-11,G31F22002600006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cciaaaa,Alessandria,006003,AL,006,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-07T15:45:00.000+0000,2022-11-11,C61F22002700006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odcde_06,Cassino,060019,FR,060,Lazio,12,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-18T07:34:00.000+0000,2022-11-11,D31F22003120006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odip_098,Lodi,098031,LO,098,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T08:26:23.000+0000,2022-11-11,H11F22003070006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
CMVS8,Vestone,017197,BS,017,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-18T09:52:25.000+0000,2022-11-11,J51F22002470006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
CMSRC,Asiago,024009,VI,024,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-01T10:24:16.000+0000,2022-11-11,F41F22002220006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
p_sp,La Spezia,011015,SP,011,Liguria,07,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-06T08:32:42.000+0000,2022-11-11,I41F22002450006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
assbre,Gualtieri,035023,RE,035,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-23T13:46:46.000+0000,2022-11-11,E91F22002580002,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
AU2V,Verona,023091,VR,023,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-08T13:36:27.000+0000,2022-11-11,F61F22002570006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
a_sr,Siracusa,089017,SR,089,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-06-17T14:03:07.000+0000,2022-11-08,J31F22001680006,1.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cciaa_ge,Genova,010025,GE,010,Liguria,07,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T10:31:08.000+0000,2022-11-11,I41F22002470006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
p_pd,Padova,028060,PD,028,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-06-21T14:08:40.000+0000,2022-11-08,G91F22001370006,1.0,49.0,A,1.4.4 Adozione identità digitale,Comune
udcved,Portomaggiore,038019,FE,038,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-03T08:52:07.000+0000,2022-11-11,J91F22002250006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
opmcp,Pordenone,093033,PN,093,Friuli-Venezia Giulia,06,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-01T12:26:26.000+0000,2022-12-12,D51F22002570006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
udcv_za,Manerba del Garda,017102,BS,017,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-08T07:37:16.000+0000,2022-12-12,C91F22002390006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
orfap_pi,Pisa,050026,PI,050,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-07T18:52:55.000+0000,2022-11-11,E51F22002500006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
orfap_gr,Grosseto,053011,GR,053,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-07T19:56:55.000+0000,2022-11-11,J51F22002480006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
uc_moarn,Medolla,036021,MO,036,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-22T07:12:43.000+0000,2022-12-12,H41F22002110006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
p_rn,Rimini,099014,RN,099,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-06-17T08:46:59.000+0000,2022-11-08,E91F22001570009,1.0,49.0,A,1.4.4 Adozione identità digitale,Comune
orfap_si,Siena,052032,SI,052,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-08T06:36:53.000+0000,2022-11-11,B61F22002930006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
omco_mi,Milano,015146,MI,015,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-20T14:32:56.000+0000,2022-12-12,F41F22001710006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odce_083,Barcellona Pozzo di Gotto,083005,ME,083,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-25T10:30:17.000+0000,2022-12-12,H61E22000100005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddc_024,Vicenza,024116,VI,024,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-20T12:43:25.000+0000,2022-12-12,G31E22000040005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oasrp,Bari,072006,BA,072,Puglia,16,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-28T09:49:44.000+0000,2022-12-12,J91F22001750006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odpc_001,Torino,001272,TO,001,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T10:08:13.000+0000,2022-12-12,B11F22001960006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
uni_napa,Napoli,063049,,063,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-27T09:17:32.000+0000,2022-12-12,I61F22001950006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odap_1,Palermo,082053,PA,082,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-25T10:54:54.000+0000,2022-12-12,C71E22000110005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
umvtl,Bobbio,033005,PC,033,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-28T14:51:17.000+0000,2022-12-12,H31F22002130006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oring_bg,Bergamo,016024,BG,016,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T06:16:30.000+0000,2022-12-12,J11F22001950002,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odappcpt,Torino,001272,TO,001,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-25T13:23:51.000+0000,2022-12-12,I11F22002520005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
FNOMCEO,Roma,058091,RM,058,Lazio,12,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-27T11:13:11.000+0000,2022-12-12,G51F22001830006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odce_041,Pesaro,041044,PU,041,Marche,11,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T07:33:02.000+0000,2022-12-12,B71F22002260006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
coati,Termini Imerese,082070,PA,082,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T08:17:49.000+0000,2022-12-12,C61E22000160005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cdodap,Palermo,082053,PA,082,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T14:33:45.000+0000,2022-12-12,D71E22000200005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odgra_,Pescara,068028,PE,068,Abruzzo,13,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T07:57:22.000+0000,2022-12-12,G91F22001810006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
p_bi,Biella,096004,BI,096,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-28T15:20:01.000+0000,2022-12-12,F41F22001700006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ciavp_0,Terni,055032,TR,055,Umbria,10,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-25T13:34:36.000+0000,2022-12-12,E41E22000180005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odipcce,Caserta,061022,CE,061,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-27T08:39:16.000+0000,2022-12-12,G21F22002010006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oappc_co,Como,013075,CO,013,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-25T15:06:28.000+0000,2022-12-12,H11F22002420006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
udcab,Vergato,037059,BO,037,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T06:34:21.000+0000,2022-12-12,H21F22002170006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oring_pt,Pistoia,047014,PT,047,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T08:44:57.000+0000,2022-12-12,J51F22002060006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
p_no,Novara,003106,NO,003,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T09:20:47.000+0000,2022-12-12,D91F22002140006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
