Misura,1.1 Infrastrutture digitali,1.2 Abilitazione e facilitazione migrazione al Cloud,1.3.1 Piattaforma Digitale Nazionale Dati,1.4.1 Esperienza del cittadino nei servizi pubblici,1.4.3 Adozione PagoPA e AppIO,1.4.4 Adozione identità digitale,1.4.5 Digitalizzazione degli avvisi pubblici
importo_finanziamento,185768345,966047606,241759489,796039697,247472210,148832478,196846461
totale_importo_misura,526200000,987000000,556000000,805000000,508000000,206000000,245000000
importo_erogato,57279477,521575492,172878029,711306391,184134683,130776333,181455495
