Misura,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/Südtirol,Umbria,Valle d'Aosta/Vallée d'Aoste,Veneto
1.1 Infrastrutture digitali,3197762,221272,2563806,2670442,1561614,1382950,67250454,960691,2804797,2436092,387226,3748322,885088,774452,6653034,2155006,497862,540326,0,2157402
1.2 Abilitazione e facilitazione migrazione al Cloud,25040884,9521556,22735950,38251225,61097058,3971653,29658764,33930287,173284219,21693068,8248864,74953425,34797563,26731923,42183028,39293547,19326861,10205795,3574033,66072329
1.3.1 Piattaforma Digitale Nazionale Dati,8371283,4676294,6728741,15999362,14500350,6105809,11247502,7333593,27042303,6851744,5345904,18569506,11801935,6901556,11706896,11663974,5283158,4578598,3234910,16478062
1.4.1 Esperienza del cittadino nei servizi pubblici,24772715,11460144,34092496,58899916,40647951,20740872,39708055,18300274,134152850,21736918,9300606,82530409,34296176,29299241,50920881,35861238,23982174,9229614,4846412,68517703
1.4.3 Adozione PagoPA e AppIO,9439555,5060203,10704890,22228641,10768738,2316654,13207980,5235958,33108209,6200646,3676719,22642124,11164476,9992420,21282566,11154937,1562909,2237300,1510470,15938281
1.4.4 Adozione identità digitale,5556540,2174717,6980509,10572650,7436594,1392058,6796684,3585928,25709050,4579196,2559331,17973460,5282911,6848687,8448792,6120816,4000325,1582197,1191752,12557510
1.4.5 Digitalizzazione degli avvisi pubblici,7096200,3095854,9333790,15292194,10018967,4703165,9533283,5162230,34121978,5421432,3157335,24843927,8493145,7295556,11064728,8386134,5726054,2426891,1448786,15920931
